"","date","observed_cumulative_cases","Cumulative_Resolved_Cases_by_Ep","observed_active_cases","observed_cumulative_deaths","observed_new_cases","observed_daily_average_cases","observed_new_episodes","observed_new_cases_community_outbreak","Daily_Cases_Linked_to_a_School_","observed_new_cases_institution_outbreak","observed_new_cases_sporadic","observed_new_ICU_p_acute_care","observed_census_ICU_p_acute_care","observed_census_ICU","Cumulative_Rate_for_0_9_Years__","Cumulative_Rate_for_10_19_Years","Cumulative_Rate_for_20_29_Years","Cumulative_Rate_for_30_39_Years","Cumulative_Rate_for_40_49_Years","Cumulative_Rate_for_50_59_Years","Cumulative_Rate_for_60_69_Years","Cumulative_Rate_for_70_79_Years","Cumulative_Rate_for_80_89_Years","Cumulative_Rate_for_90_Years_an","Cumulative_Rate_for_Males__per_","Cumulative_Rate_for_Females__pe","Source_of_Infection_is_a_Close_","Source_of_Infection_is_an_Outbr","Source_of_Infection_is_Travel_b","Number_of_Cases_with_Missing_In","Number_of_Cases_with_No_Known_E","F__No_Known_Epidemiological_Lin","ObjectId","observed_census_acute_care","observed_new_deaths","cumulative_hosp","observed_new_community_cases","num_non_ltch_tests","non_ltch_pct_positivity","7-Day_Average_of_%_Positivity,_Excluding_LTCH","num_ltch_tests","ltch_pct_positivity","7-Day_Average_of_LTCH_%_Positivity","observed_pct_positivity","pct_positivity_7_day","adjusted_new_episodes","adjusted_active_cases","adjusted_episode_cases"
"225",2020-10-11,5895,"4224",1377,"294","138","111.6",64,6,4,6,48,5,46,10,"341.4","513.1","809.8","533.8","557.6","477.9",285.9,"414.4","1102","2960","516.2",611.1,33,19,0,2,10,"20.153061224489797",130,36,0,402,54,1793,0.000334634690462911,0.0258686066050485,17,0.00117647058823529,0.0182352941176471,0.0342541436464088,0.0252628236055234,59.9479647389772,1375.67310084392,64
"226",2020-10-12,5956,"4314",1348,"294","62","108.7",61,2,3,13,43,3,46,10,"347","519","819.7","536.4","565","484.3",288.9,"417.1","1102","2983.3","521.2",617.5,28,17,1,1,14,"19.964349376114082",131,36,0,405,45,1725,0.000342028985507246,0.0285217613929583,120,0.000333333333333333,0.0229971988795518,0.0341463414634146,0.0280222283182146,57.9567737505141,1346.70513368207,61
"227",2020-10-13,6041,"4377",1369,"295","74","99.4",85,5,3,9,68,1,45,7,"356.4","533.3","831.6","541.2","576.1","492",290.7,"419.8","1102","2995","529.4",625.4,49,16,3,1,16,"19.636363636363637",132,38,1,406,73,3198,0.000309568480300188,0.0300747826854861,115,8.69565217391304e-05,0.0228108634758251,0.0301841231512225,0.0295381096631528,81.9380141890717,1367.83755376492,85
"228",2020-10-14,6108,"4437",1374,"297","84","86.7",67,2,1,15,49,2,45,7,"360.2","541.7","837.2","548.6","583.5","499.8",292.5,"427.9","1108","3006.6","534.9",632.6,34,15,1,0,17,"20.479704797047972",133,38,2,408,51,3869,0.000134401654174205,0.0281929629985738,190,0,0.0228108634758251,0.0128110372012811,0.0277914097966113,65.9816200074336,1373.50482137674,67
"229",2020-10-15,6193,"4498",1398,"297","107","89.9",85,4,6,23,52,5,49,8,"364.9","556.8","844.7","555.3","591.6","511.8",295.5,"432","1120.2","3006.6","542.9",640.9,37,32,2,0,14,"20.224719101123593",134,41,0,413,56,3307,0.000305412760810402,0.0291075929691575,69,0.000579710144927536,0.0310924369747899,0.0311018957345971,0.0288771874248478,78.9510034217912,1396.77683542257,86
"230",2020-10-16,6267,"4552",1417,"298","77","87.1",74,2,4,10,58,4,47,8,"367.7","566.9","852.2","561.3","600.5","519.5",298.5,"438.7","1129.3","3029.9","549.9",648.1,37,17,2,0,18,"20.172084130019122",135,39,1,417,60,2363,0.000236986881083369,0.0275150416539802,125,0.00024,0.0345210084033613,0.0237138263665595,0.0273850810513729,69.9599738564131,1416.05471590896,75
"231",2020-10-17,6314,"4616",1399,"299","64","86.6",47,3,0,8,36,6,50,8,"367.7","570.3","858.5","564.7","603.4","523.8",303.9,"441.4","1150.5","3029.9","553.4",653.5,26,12,0,2,7,"19.882468168462292",202,42,1,423,39,1289,0.00034910783553142,0.0287448755409963,39,0.00102564102564103,0.049173023055376,0.0368975903614458,0.0290155654178471,46.9595187909558,1397.54786637301,47
"232",2020-10-18,6371,"4703",1366,"302","73","77.3",57,1,5,11,40,2,49,6,"368.6","577.9","865.9","568.8","606.4","530.1",306.9,"445.5","1162.7","3076.6","558.3",659.6,26,14,1,0,16,"20.568070519098921",206,43,3,425,41,1200,0.000425,0.0300358085343833,38,0.00157894736842105,0.054922691343744,0.0460420032310178,0.0306995453585055,51.9468957926636,1364.2307232385,57
"233",2020-10-19,6434,"4786",1345,"303","69","78.3",63,1,0,6,56,3,48,6,"377.1","588","870.3","574.1","612.3","535.7",310.6,"449.5","1168.8","3076.6","564",666,44,7,0,0,12,"20.25819265143992",209,42,1,428,57,2994,0.000230460921843687,0.0284419790534753,579,3.45423143350604e-05,0.0506542482151972,0.0198712566470753,0.0286602475275999,62.9681366780907,1344.24813740407,64
"234",2020-10-20,6512,"4858",1349,"305","46","74.3",78,3,4,14,57,4,46,5,"383.7","598.9","880.3","584.2","619.7","540.7",313.6,"453.6","1171.8","3088.2","570.2",674.6,43,16,4,0,15,"20.0990099009901",212,41,2,432,60,2888,0.000256232686980609,0.0276800391489099,113,0,0.0494120121903525,0.0246584471842719,0.0278708652466069,73.9583794478221,1348.06423125187,78
"235",2020-10-21,6600,"4919",1373,"308","69","72.1",88,1,1,46,40,4,45,4,"387.4","603.1","884.7","591.6","622.7","546.3",316.6,"467.1","1235.5","3239.7","578",683.7,29,47,0,0,12,"19.658976930792377",216,41,3,436,41,2905,0.000216867469879518,0.0288581222304144,160,0.0014375,0.0699477264760668,0.0280587275693312,0.0300491067277569,86.9676374531542,1371.91624934587,88
"236",2020-10-22,6664,"4999",1357,"308","88","69.4",64,1,4,24,35,1,44,3,"389.3","609.8","888.4","595.7","636","553.4",320.2,"469.8","1241.6","3286.3","583.9",690.1,23,25,1,0,15,"20.183486238532112",220,41,0,437,36,2709,0.000221483942414175,0.0276591391104683,216,4.62962962962963e-05,0.0623275286384776,0.0208547008547009,0.0285852217449146,59.9788798339508,1356.2038870742,65
"237",2020-10-23,6743,"5075",1359,"309","92","71.6",79,1,1,13,64,2,37,3,"396.8","619.1","894.7","604.4","643.4","561.1",324.4,"473.8","1247.7","3332.9","591.1",698,44,13,0,0,22,"20.880245649948822",223,34,1,439,65,2060,0.000344660194174757,0.0291973292974881,83,0.00036144578313253,0.0640624683975138,0.0345310312645823,0.0301305367303464,77.9368586637845,1357.67986037051,79
"238",2020-10-24,6808,"5146",1350,"312","63","71.4",65,2,5,17,41,2,36,3,"403.4","626.7","898.4","609.1","650","566.8",329.8,"475.2","1259.8","3391.2","595.4",706.1,39,17,1,0,8,"20.061412487205732",226,33,3,441,43,1211,0.000338563170933113,0.029046691231798,33,0,0.0494104537454991,0.0329581993569132,0.0295677665868418,59.9601321518962,1348.74833500139,65
"239",2020-10-25,6878,"5233",1331,"314","69","70.9",70,1,3,24,42,3,38,3,"405.3","635.9","905.3","613.8","652.2","572.4",334.6,"479.2","1293.2","3461.1","601",713.8,34,30,0,0,6,"19.532044760935911",229,35,2,444,43,1227,0.00039119804400978,0.0285638061462234,47,0.00297872340425532,0.0694072542574172,0.0486656200941915,0.0299425689958666,66.9411316883917,1329.17782040115,70
"240",2020-10-26,6951,"5345",1291,"315","77","72",73,1,5,16,51,4,39,3,"416.6","646","909.7","622.6","655.9","580.2",335.8,"483.3","1311.4","3484.4","606.9",721.9,38,20,0,0,15,"19.396984924623116",232,36,1,448,52,2608,0.000325920245398773,0.0299275107684389,209,0.000191387559808612,0.0716479006213251,0.0315938942137025,0.0316172315053848,67.9537834666652,1289.85258568202,73
"241",2020-10-27,7029,"5451",1261,"317","60","74",78,0,3,15,60,2,32,3,"424.1","661.1","919","631.3","656.7","585.1",337,"492.7","1317.5","3542.7","614.5",729.3,53,17,1,1,6,"18.522267206477732",235,29,2,450,60,2567,0.000296065446045968,0.0304965501836584,112,8.92857142857143e-05,0.0729234108254068,0.0287420679357969,0.0322006058984598,74.9514867773593,1259.98041377084,78
"242",2020-10-28,7141,"5553",1268,"320","93","77.4",112,2,3,69,38,2,30,2,"426","667","927.8","634","664.8","590",342.4,"511.6","1384.3","3799.1","623.7",741.5,33,70,0,1,8,"16.844143272023231",238,28,3,452,40,2979,0.000187982544478013,0.0300839083922083,300,0.00223333333333333,0.0842924584444544,0.0375114364135407,0.033550992876204,108.957790078052,1266.66194547424,112
"243",2020-10-29,7204,"5631",1252,"321","65","74.1",63,0,4,17,42,9,38,2,"426.9","674.6","935.9","640.1","671.5","597.8",345.4,"514.3","1390.4","3822.4","629.5",747.8,34,19,0,1,9,"16.716122650840752",276,36,1,461,42,2755,0.000196007259528131,0.0297199557795505,108,0,0.0836310827830787,0.0188613342647573,0.0332662262204978,58.9777150037579,1251.33569487392,64
"244",2020-10-30,7254,"5710",1221,"323","121","78.3",50,1,4,9,36,4,41,2,"432.6","676.3","944","644.8","678.1","600.6",347.2,"514.3","1405.5","3834.1","633.2",753.6,23,13,0,1,13,"16.616008105369808",278,39,2,465,37,2129,0.000234852043212776,0.0281512679086651,145,6.89655172413793e-05,0.079452793270348,0.0224274406332454,0.0315371418445925,45.9766561597355,1220.22965327127,50
"245",2020-10-31,7293,"5818",1151,"324","82","81",39,0,2,5,32,2,40,2,"432.6","683","949.6","647.5","681.8","604.8",349.6,"515.7","1408.6","3845.7","637.3",757,23,6,1,0,9,"16.956077630234933",280,38,1,467,32,1005,0.000318407960199005,0.0278633363267492,19,0,0.079452793270348,0.03125,0.0312931133650335,36.9718686312869,1149.9881498316,39
"246",2020-11-01,7343,"5906",1110,"327","50","78.3",50,1,3,6,40,1,38,2,"433.5","694","952.7","652.2","689.2","606.9",352.6,"515.7","1414.7","3892.3","642",761.9,32,9,0,0,9,"16.358024691358025",282,36,3,468,41,927,0.000237324703344121,0.0256651457458112,17,0,0.0368996017809863,0.0233050847457627,0.0276701797438294,46.9731202387932,1109.27227963562,50
"247",2020-11-02,7407,"6017",1063,"327","56","75.3",64,3,6,8,47,6,43,2,"439.1","704.9","960.2","657.6","697.3","612.6",353.8,"517","1420.7","3904","647.8",768.3,36,18,2,1,7,"15.827338129496402",284,41,0,474,50,2537,0.000208908159243201,0.0239935445150173,312,0,0.0341654937837204,0.0186030186030186,0.0258143403708745,57.9738335812251,1062.44370193685,64
"248",2020-11-03,7478,"6157",993,"328","35","71.7",71,1,1,36,33,2,44,2,"444.8","710.8","963.3","665","703.3","618.2",358,"523.8","1445","3973.9","652.3",777.4,26,39,2,0,4,"14.803312629399587",287,42,1,476,34,3146,0.000203432930705658,0.0226702228672986,66,0.00151515151515152,0.0545350052246604,0.0230386052303861,0.0249995599843873,69.9779643450554,992.356429254118,71
"249",2020-11-04,7543,"6294",917,"332","53","66",65,5,8,1,51,1,41,1,"454.2","720.9","967.7","669","710.7","625.3",360.4,"527.8","1454.1","3973.9","657.2",784.5,47,10,1,0,7,"14.634146341463413",290,40,4,477,56,2614,0.000260137719969396,0.0237010110886041,101,0.000891089108910891,0.0353600877329112,0.0283609576427256,0.0236923487314137,56.9553213768358,916.268387545687,65
"250",2020-11-05,7590,"6383",875,"332","45","63.1",47,0,7,6,34,5,44,2,"456.1","733.5","974","675.1","714.3","627.4",360.4,"527.8","1460.2","3985.5","662.3",788.5,27,10,2,0,8,"14.146868250539956",323,42,0,482,34,2243,0.000200624164065983,0.0237669668677163,238,8.40336134453781e-05,0.0365605679249881,0.01894397420395,0.0237041544370126,39.9818807226104,874.533695067181,47
"251",2020-11-06,7664,"6458",870,"336","79","57.1",74,1,3,12,58,5,47,3,"462.7","741.1","982.1","681.8","721","634.4",362.8,"530.5","1484.5","4008.9","670.5",794.5,49,14,2,0,9,"12.812160694896852",325,44,4,487,59,1741,0.000361860999425617,0.0255813805278997,110,9.09090909090909e-05,0.0368740475488125,0.0345759049162614,0.0254396493345864,70.9426126157425,869.153779249085,74
"252",2020-11-07,7699,"6523",835,"341","75","56.1",35,3,3,4,25,3,47,4,"462.7","744.4","988.3","683.8","723.2","638.7",365.8,"534.6","1487.5","4008.9","672.8",798.9,17,10,0,0,8,"13.243546576879911",326,43,5,490,28,1110,0.000216216216216216,0.0241214984710027,22,0,0.0368740475488125,0.0212014134275618,0.0240041369670952,31.9833001062057,834.501985310062,35
"253",2020-11-08,7736,"6621",774,"341","47","55.7",37,1,2,5,29,1,48,4,"466.4","746.9","994.6","689.2","726.9","640.8",367,"534.6","1490.5","4020.5","676.1",802.6,20,7,3,0,7,"13.869463869463869",328,44,0,491,30,891,0.000291806958473625,0.0248998164014242,14,0,0.0368740475488125,0.0287292817679558,0.0247790222559799,34.9757541794517,773.374457829855,37
"254",2020-11-09,7807,"6718",744,"345","31","52.1",71,3,2,24,42,7,47,4,"471.1","754.5","1001.4","693.3","732.1","645",368.8,"538.6","1530","4113.7","682.2",810.2,34,27,2,0,8,"13.084112149532709",330,43,4,498,45,3022,0.000261416280608868,0.0256499324209338,111,0,0.0368740475488125,0.0252154484519629,0.0257236550915434,68.968079471505,743.472247262215,71
"255",2020-11-10,7873,"6776",752,"345","52","54.6",66,0,2,11,53,3,48,5,"475.8","763.8","1013.3","698","737.3","649.2",370.6,"546.7","1530","4137","688",816.9,37,11,4,0,14,"14.218009478672986",332,43,0,501,53,2919,0.000236382322713258,0.0261206380210423,259,7.72200772200772e-05,0.0163321698640777,0.0223410950283197,0.0256240107769625,63.9666902641702,751.527378842565,67
"256",2020-11-11,7929,"6831",750,"348","77","58",56,0,2,6,48,2,47,5,"481.5","771.3","1021.4","703.4","743.2","654.2",372.4,"548.1","1530","4148.7","694.1",821.7,36,9,1,0,10,"15.482233502538071",334,42,3,503,48,2551,0.000199921599372795,0.0252604077268052,166,0,0.00360232545106495,0.0187707029812293,0.0242539743967487,53.9746538128047,749.603965825074,56
"257",2020-11-12,7971,"6881",740,"350","60","60.1",42,1,2,8,31,3,44,3,"489","773.9","1027.7","708.1","743.9","657",373.6,"549.4","1536.1","4195.3","697.8",826,25,11,1,0,5,"15.384615384615385",336,41,2,506,32,2247,0.000169114374721851,0.0248102678790319,39,0,0.00240184525898812,0.0166229221347331,0.0239223955297177,39.9850359823469,739.653957091771,42
"258",2020-11-13,8010,"6942",716,"352","79","60.1",39,2,4,6,27,0,36,3,"492.7","778.9","1033.3","711.4","747.6","659.8",374.8,"550.8","1545.2","4195.3","702.1",829.2,25,13,0,0,1,"14.02116402116402",338,33,2,506,29,1846,0.000189599133261105,0.0223493840766817,213,0.000140845070422535,0.00311521639489446,0.0184555609519184,0.0216194892490973,34.9849437744916,715.628266984,39
"259",2020-11-14,8029,"6987",690,"352","49","56.4",19,2,2,1,14,3,37,3,"495.6","778.9","1037","714.1","747.6","659.8",376.6,"554.8","1545.2","4195.3","704.4",830.5,12,3,1,1,2,"13.451086956521738",340,34,0,509,16,1112,0.000242805755395683,0.0227292346363884,14,0,0.00311521639489446,0.0239786856127886,0.0220162424184154,16.9892071480604,689.534558260103,21
"260",2020-11-15,8059,"7058",647,"354","30","54",30,1,3,1,25,0,35,2,"498.4","782.3","1038.9","715.5","750.6","664.7",379.6,"557.5","1545.2","4195.3","707.2",833.5,20,2,1,0,7,"13.547486033519554",342,33,2,509,26,1014,0.000207100591715976,0.0215191436827077,57,0,0.00311521639489446,0.0196078431372549,0.0207131797568867,26.985658517911,646.64311773417,30
"261",2020-11-16,8103,"7137",609,"357","10","51",44,0,2,3,39,3,33,2,"505","786.5","1042","720.9","754.3","670.4",380.8,"560.2","1545.2","4218.6","710.3",838.8,31,4,1,0,8,"14.080459770114942",344,31,3,512,39,3448,0.000165313225058005,0.0201462428891239,27,0,0.00311521639489446,0.0164028776978418,0.0194542410777265,41.9820040193815,608.718985841112,44
"262",2020-11-17,8143,"7201",585,"357","39","49.1",40,1,1,10,28,1,32,2,"510.6","789","1044.5","724.2","757.2","675.3",382.6,"562.9","1551.3","4265.2","714",842.8,24,10,1,0,5,"14.887218045112782",346,30,0,513,29,2980,0.000177852348993289,0.0193101004074101,41,0.000487804878048781,0.00898071354959022,0.0182058920887124,0.0188634978006398,38.9851474567702,584.700388352088,41
"263",2020-11-18,8185,"7250",578,"357","66","47.6",42,5,2,4,31,1,32,2,"515.3","794.1","1048.9","728.9","760.9","678.1",385.6,"565.6","1554.3","4265.2","717.7",847.1,28,7,3,0,4,"14.953271028037381",348,30,0,514,36,2519,0.000119094878920206,0.0181554329723731,35,0.000285714285714286,0.0130623462026514,0.0121378230227094,0.0179159435208512,39.9877076713063,577.802639833751,42
"264",2020-11-19,8205,"7288",559,"358","53","46.6",20,2,0,1,17,0,30,2,"516.3","795.7","1053.2","731","764.6","679.6",385.6,"565.6","1554.3","4265.2","719.8",848.8,7,3,4,1,5,"15.121951219512194",350,28,1,514,19,2184,0.000114468864468864,0.0173747828259018,146,0,0.0130623462026514,0.0107296137339055,0.017074042320733,19.9942650643182,558.831272155466,20
"265",2020-11-20,8230,"7356",516,"358","28","39.3",25,1,2,2,20,1,30,2,"520","798.3","1055.7","733.7","766.1","683.1",386.8,"567","1554.3","4265.2","722.4",851.1,16,3,2,0,4,"15.547703180212014",352,28,0,515,21,1846,0.000200433369447454,0.017529557628564,98,0,0.0110502737680438,0.0190329218106996,0.017156522443416,22.988756135036,515.72372217517,25
"266",2020-11-21,8259,"7416",484,"359","27","36.1",29,4,2,4,19,2,31,2,"521","800.8","1058.9","739","769.8","683.8",387.4,"568.3","1563.4","4276.9","725.5",853.5,14,10,1,0,4,"15",354,29,1,517,23,1032,0.000106589147286822,0.0155836060841517,16,0.000625,0.0199788451966152,0.0114503816793893,0.0153667647386447,26.9925913570946,483.844096384079,29
"267",2020-11-22,8286,"7453",471,"362","25","35.4",27,3,1,4,19,3,31,4,"523.8","801.6","1063.2","742.4","772.8","685.2",389.2,"569.7","1566.4","4276.9","727.8",856.3,14,4,2,0,7,"15.272727272727273",356,27,3,520,22,1003,0.000219341974077767,0.0157584829750344,25,0,0.0199788451966152,0.0214007782101168,0.0156228983204821,25.9867552699833,470.716442371007,27
"268",2020-11-23,8326,"7509",453,"364","20","36.9",40,2,3,9,26,1,27,3,"528.5","805.8","1067","748.5","778.7","685.9",390.4,"571","1566.4","4311.9","731.5",860.3,14,16,1,0,9,"16.377649325626205",358,24,2,521,28,2969,0.00016503873358033,0.0157545616682105,33,0.000303030303030303,0.0243078495256196,0.016655562958028,0.0156589962147944,36.9868807740845,452.787749666439,40
"269",2020-11-24,8369,"7542",463,"364","21","34.3",43,2,1,7,33,1,23,3,"535.1","810","1068.9","757.2","780.2","690.8",391.6,"573.7","1569.5","4323.5","735",865,26,10,1,0,6,"15.524193548387096",360,20,0,522,35,3429,9.62379702537183e-05,0.0145886419719309,241,0.00020746887966805,0.020303049548752,0.0103542234332425,0.014537329264013,41.9898052533002,462.865138065085,43
"270",2020-11-25,8424,"7588",471,"365","38","30.3",55,4,2,10,39,2,23,2,"539.8","820.1","1074.5","761.3","786.1","696.5",392.8,"579.1","1572.5","4323.5","739.7",870.9,30,13,2,0,10,"15.555555555555555",362,21,1,524,43,3789,0.000124043283188176,0.0146593334614733,73,0,0.0162214168956908,0.0121698601760745,0.014541906000208,52.9852787425766,470.83875087799,55
"271",2020-11-26,8469,"7617",487,"365","60","31.3",45,3,1,4,37,3,23,2,"545.4","827.7","1077.6","767.3","789","697.9",395.9,"581.8","1581.6","4323.5","744.4",874.8,35,6,2,0,2,"14.859437751004014",364,21,0,527,40,2511,0.0002389486260454,0.0164376157697095,231,4.32900432900433e-05,0.0168398460855485,0.0222465353756382,0.0161871805204556,43.9749669804304,486.69522298674,45
"272",2020-11-27,8516,"7651",499,"366","56","35.3",47,2,1,3,41,3,24,1,"549.2","833.6","1083.8","774","792.7","702.1",397.7,"584.5","1581.6","4323.5","749.7",878.6,28,5,1,0,13,"16.996047430830039",366,23,1,530,43,2007,0.000119581464872945,0.0152825885615023,132,0,0.0168398460855485,0.0112201963534362,0.0150710768837036,45.986427502332,498.842495899155,48
"273",2020-11-28,8560,"7690",503,"367","59","39.9",44,2,0,3,39,2,25,1,"551.1","837","1092","780.8","794.2","704.9",400.7,"587.2","1584.7","4335.2","754.2",882.5,22,7,0,0,15,"18.64406779661017",368,24,1,532,41,1204,0.000282392026578073,0.017794058265663,20,0,0.00791127465697709,0.0277777777777778,0.0174035620406163,43.9679614967435,502.606942264926,44
"274",2020-11-29,8605,"7721",515,"369","22","39.4",45,0,3,4,38,5,28,1,"554.8","840.3","1100.7","784.1","800.1","706.3",403.1,"591.3","1587.7","4335.2","758.8",886.5,23,5,2,0,15,"19.5970695970696",394,27,2,537,38,1223,0.000237121831561733,0.0180480562297197,147,0.000136054421768707,0.00985490925367291,0.0226277372262773,0.0175788419000678,41.9758111296759,514.672177152187,45
"275",2020-11-30,8648,"7757",521,"370","47","43.3",43,1,1,7,34,1,25,1,"557.6","843.7","1106.9","792.2","802.3","709.2",404.9,"592.6","1590.7","4358.5","763.3",890.1,24,9,0,0,10,"20",395,24,1,538,35,4125,8.96969696969697e-05,0.0169717453171002,33,0,0.00552590492466858,0.0088985088985089,0.0164706913201365,41.9912385467813,520.869579510659,43
"276",2020-12-01,8702,"7789",543,"370","34","45.1",54,2,1,12,39,3,27,1,"560.5","849.6","1115.7","798.9","806.8","713.4",406.1,"596.7","1593.8","4381.8","769.6",894.2,24,17,1,0,12,"20.751341681574239",396,26,0,541,41,3280,0.000106707317073171,0.017121307414521,195,5.12820512820513e-05,0.00329466451915432,0.0103597122302159,0.0164714754339898,52.9880512517351,542.841751943711,54
"277",2020-12-02,8744,"7816",557,"371","49","46.7",42,1,2,5,34,6,31,1,"566.1","854.6","1121.9","800.3","812.7","716.2",408.5,"599.4","1593.8","4381.8","773.1",898.8,24,10,0,0,8,"21.466905187835419",397,30,1,547,35,3876,0.0001109391124871,0.0169341049759342,69,0,0.00329466451915432,0.0108998732572877,0.016290048731306,39.9892680076266,556.829208007086,42
"278",2020-12-03,8782,"7854",556,"372","38","43.6",38,0,1,5,32,3,33,1,"568.9","861.3","1126.9","802.3","817.9","721.1",409.1,"600.7","1593.8","4381.8","775.6",903.5,21,6,1,0,10,"21.663778162911612",398,32,1,550,32,2711,0.000103282921431206,0.0149960234814457,225,0,0.00267623532929655,0.0095367847411444,0.0144743700692355,36.9914149501475,555.850834758813,38
"279",2020-12-04,8825,"7891",560,"374","55","43.4",43,1,4,5,33,2,31,1,"571.7","866.4","1130.7","809.7","821.6","726.1",410.3,"603.4","1596.8","4381.8","780.5",906.9,22,13,1,0,7,"21.512605042016808",399,30,2,552,34,2242,0.000245316681534344,0.0167922408623228,16,0,0.00267623532929655,0.0243578387953941,0.0163511761323723,38.976702542297,559.616277167244,43
"280",2020-12-05,8860,"7937",549,"374","46","41.6",35,3,1,2,29,1,31,1,"573.6","868.1","1138.8","813.1","823.8","728.2",412.7,"606.1","1596.8","4393.4","784.2",909.9,19,5,2,0,9,"22.129783693843592",400,30,0,553,32,1178,0.000212224108658744,0.0157898420349038,16,0,0.00267623532929655,0.0209380234505863,0.0153740683713449,33.98115151175,548.676630623462,35
"281",2020-12-06,8899,"7981",543,"375","33","43.1",39,0,2,7,30,1,31,2,"576.4","871.4","1144.4","817.1","826.8","732.4",415.1,"607.5","1602.9","4393.4","787.5",914,19,10,1,0,9,"22.022838499184338",1,29,1,554,30,1512,0.000171957671957672,0.0148589254691315,25,4e-04,0.00644688644688645,0.0175666883539362,0.0146510613895819,36.9851747503854,542.731662981976,39
"282",2020-12-07,8953,"8031",546,"376","23","39.7",54,0,5,4,45,2,30,1,"586.8","879","1153.1","819.8","831.2","734.5",417.5,"607.5","1612","4393.4","791.8",920.1,38,8,0,0,8,"21.371610845295056",3,29,1,556,45,4376,0.000130255941499086,0.0154383393520189,35,0.000285714285714286,0.0105285190999477,0.013148945817275,0.0152582666636914,48.9833545970662,545.798035777736,54
"283",2020-12-08,9000,"8074",550,"376","57","43",47,1,1,1,44,0,27,1,"591.5","884.1","1164.4","821.8","836.4","738.8",418.1,"607.5","1615","4393.4","795.1",925.7,35,3,2,0,7,"21.394611727416798",5,26,0,556,45,3172,0.000122950819672131,0.0156703893891469,184,0,0.00979591836734694,0.0116209773539928,0.0154384473956595,45.9852888700562,549.820197300687,47
"284",2020-12-09,9053,"8116",561,"376","36","41.1",53,2,2,3,46,1,24,3,"595.2","886.6","1173.7","827.9","842.3","742.3",421.1,"608.8","1621.1","4405.1","799.4",931.6,30,7,1,0,15,"22.257551669316374",6,21,0,557,48,3495,0.00013447782546495,0.0160066567174019,118,8.47457627118644e-05,0.0110065721203736,0.0132853584278993,0.0157792309914612,50.9820607048118,560.790334487488,53
"285",2020-12-10,9098,"8162",560,"376","60","44.3",45,2,0,0,43,1,23,3,"597.1","893.3","1183.1","832.6","846.7","746.5",421.1,"610.2","1621.1","4405.1","804.5",935.1,29,1,0,0,15,"24.324324324324326",8,20,0,558,45,2771,0.000173222663298448,0.0170057958869339,26,0.000384615384615385,0.0165010776148791,0.017518770110833,0.0169195146157024,44.9778227858376,559.724016890423,45
"286",2020-12-11,9138,"8217",545,"376","48","43.3",40,6,1,2,31,1,23,2,"599","899.2","1190","838.7","848.9","749.3",422.9,"611.5","1621.1","4405.1","808.6",938.7,24,9,1,1,5,"23.311897106109324",10,21,0,559,37,2454,0.000162999185004075,0.0158298316507872,8,0,0.0165010776148791,0.016246953696182,0.0157608167443864,38.983089185339,544.750908270534,39
"287",2020-12-12,9171,"8260",534,"377","60","45.3",33,2,0,5,26,0,20,2,"603.7","902.6","1192.5","841.3","851.2","753.6",424.7,"612.9","1621.1","4440","811.5",942.1,22,7,0,0,4,"21.931260229132572",12,18,1,559,28,1305,0.000222222222222222,0.0159726618445512,24,0,0.0165010776148791,0.0218209179834462,0.0158869445347949,32.9828121358954,533.672202877434,33
"288",2020-12-13,9210,"8301",531,"378","30","44.9",39,5,0,2,32,0,19,2,"605.6","907.6","1199.3","848.8","854.9","754.3",425.9,"614.2","1621.1","4440","815.4",945.7,23,6,3,0,7,"20.826446280991735",14,17,1,559,37,950,0.000231578947368421,0.016824394350419,22,0,0.0107867919005934,0.0226337448559671,0.0166108097493708,38.9764414257897,530.661902624171,39
"289",2020-12-14,9253,"8348",527,"378","16","43.9",43,4,0,4,35,2,20,2,"605.6","916","1205.6","854.1","857.8","757.8",428.9,"615.6","1621.1","4440","819.5",949.8,24,8,1,0,10,"20.826446280991735",16,18,0,561,39,3827,0.000128037627384374,0.0167927041487803,75,0,0.00670515924753213,0.0125576627370579,0.0165263407379112,42.9862226946154,526.813829745188,43
"290",2020-12-15,9299,"8385",535,"379","54","43.4",46,1,1,7,37,1,20,1,"608.4","921.9","1210.6","859.5","862.2","763.4",430.7,"615.6","1627.2","4451.7","822.4",955.7,26,7,0,0,13,"21.273031825795645",18,19,1,562,38,3557,0.000151813325836379,0.0172050256654124,62,0.000161290322580645,0.00900930671296992,0.0151975683890578,0.017037282314349,44.983753920804,534.771272306056,46
"291",2020-12-16,9354,"8422",553,"379","53","45.9",55,3,1,4,47,0,18,1,"611.2","936.2","1214.3","866.9","866.7","767",432.5,"618.3","1627.2","4475","828.1",960.6,36,9,0,0,10,"21.147540983606557",20,17,0,562,50,3481,0.000117782246480896,0.0169665173942117,21,0,0.00779865295994328,0.011707595659623,0.0168118876331667,53.9835324654878,552.817869068295,55
